sku,retail_price,item_title,inserted_at,store_code,availability,sales_size,sales_uom_description,published
033372,4.99,Organic Sweet Potatoes,2025-10-11 11:46:15,31,1,3,Lb,1
081751,3.99,Spicy & Sweet Creamy Pepper Dip,2025-10-11 11:46:15,31,1,9.5,Oz,1
080679,7.49,Mimolette Cheese,2025-10-11 11:46:15,31,1,7.05,Oz,1
080463,3.49,Brie Cheese Flavored Spread,2025-10-11 11:46:15,31,1,6,Oz,1
082321,11.99,Shaved Lamb Shoulder,2025-10-11 11:46:15,31,0,1,Lb,1
082479,11.99,Ground Lamb,2025-10-11 11:46:15,31,0,1,Lb,1
081727,4.99,Cookies 'N Cream Ice Cream Sandwiches,2025-10-11 11:46:15,31,1,17,Fl Oz,1
078055,4.49,Quite Possibly The World's Smallest Uncured Salami,2025-10-11 11:46:15,31,0,5,Oz,1
083417,4.99,Old Wisconsin Beef Summer Sausage,2025-10-11 11:46:15,31,1,8,Oz,1
079274,5.49,Norwegian Smoked Salmon,2025-10-11 11:46:15,31,1,4,Oz,1
079715,4.49,Bourbon Vanilla Bean Syrup,2025-10-11 11:46:15,31,1,8.45,Fl Oz,1
082268,3.49,Ketchup Flavored Lattice Potato Chips,2025-10-11 11:46:15,31,0,7,Oz,1
081526,2.99,Peach Flavored Glaze,2025-10-11 11:46:15,31,0,8.45,Fl Oz,1
081133,3.49,Simit Turkish Sesame Bread,2025-10-11 11:46:15,31,1,14.1,Oz,1
081864,3.49,Sliced Calabrese Uncrued Salami,2025-10-11 11:46:15,31,1,5,Oz,1
082570,3.79,Protein Pancakes,2025-10-11 11:46:15,31,1,4.9,Oz,1
081613,3.99,Goat Cheese & Caramelized Onion Ravioli,2025-10-11 11:46:15,31,1,8.8,Oz,1
079654,4.99,Gluten Free Cranberry Raisin Toasts,2025-10-11 11:46:15,31,1,5,Oz,1
082172,4.99,Ghosts & Bats Fruit Leather Chains,2025-10-11 11:46:15,31,0,5,Oz,1
078302,3.29,Crispy Garlic,2025-10-11 11:46:15,31,1,4,Oz,1
081238,4.29,Vanilla Non-Dairy Frozen Dessert,2025-10-11 11:46:15,31,1,16,Fl Oz,1
082044,5.99,Vanilla Bean Whipped Sweet Potatoes,2025-10-11 11:46:15,31,1,16,Oz,1
082351,5.99,Chicken Lettuce Wraps,2025-10-11 11:46:15,31,1,7.5,Oz,1
081000,4.99,Homestyle Cherry Pistachio Pecan Granola,2025-10-11 11:46:15,31,1,12,Oz,1
081679,4.49,Pumpkin & Spice Brioche Style Liège Waffles,2025-10-11 11:46:15,31,1,11.64,Oz,1
082063,3.49,Glazed Pumpkin Pie Spice Donut Holes,2025-10-11 11:46:15,31,1,6,Oz,1
081280,5.99,Mini Chicken Tacos,2025-10-11 11:46:15,31,1,16,Oz,1
081865,7.99,Turkish Inspired Stuffed Eggplant,2025-10-11 11:46:15,31,1,18,Oz,1
081840,5.99,Loaded Mashed Potatoes,2025-10-11 11:46:15,31,1,16,Oz,1
081863,6.99,Sliced Peppered Uncured Salami,2025-10-11 11:46:15,31,1,10,Oz,1
080825,2.99,Organic Sweet Cream Creamer,2025-10-11 11:46:15,31,1,16,Fl Oz,1
080971,5.99,Organic Milk A2/A2,2025-10-11 11:46:15,31,1,64,Fl Oz,1
080667,5.49,McLelland Vintage Scottish Cheddar,2025-10-11 11:46:15,31,0,1,Each,1
082279,4.99,Creamy Mac & Cheese,2025-10-11 11:46:15,31,1,20,Oz,1
082602,4.49,Cocoa Truffles with Maple Sugar,2025-10-11 11:46:15,31,1,8.8,Oz,1
081723,3.99,Maple Brown Butter Almonds,2025-10-11 11:46:15,31,1,8,Oz,1
080600,2.99,Kettle Cooked Rosemary & Sea Salt Potato Chips,2025-10-11 11:46:15,31,1,7,Oz,1
081307,4.99,Thai Style Red Curry Soup,2025-10-11 11:46:15,31,1,20,Oz,1
081786,3.79,Harvest Vegetable Hash Egg White Bites,2025-10-11 11:46:15,31,1,4.2,Oz,1
081781,3.99,Pumpkins Sugar Cookie Dough,2025-10-11 11:46:15,31,1,10.8,Oz,1
079824,3.99,Furikake Snack Mix,2025-10-11 11:46:15,31,1,7.5,Oz,1
082331,4.99,Lemony Chicken Orzo Soup,2025-10-11 11:46:15,31,1,20,Oz,1
080948,4.49,Chocolate Whipped Light Cream,2025-10-11 11:46:15,31,1,13,Oz,1
095748,3.49,Fresh Fennel,2025-10-11 11:46:15,31,1,20,Oz,1
068719,14.99,Wild Alaskan Sockeye Salmon Fillets,2025-10-11 11:46:15,31,1,1,Lb,1
081698,3.99,Apple Pie Spread,2025-10-11 11:46:15,31,1,10,Oz,1
055201,5.99,Rustic Apple Tarte,2025-10-11 11:46:15,31,1,17.6,Oz,1
082060,3.99,Maple Leaf Ice Cream Sandwiches,2025-10-11 11:46:15,31,0,12.17,Fl Oz,1
081774,4.49,Butternut Squash Risotto,2025-10-11 11:46:15,31,1,16,Oz,1
082239,4.49,Halloween Joe-Joe's Cookies,2025-10-11 11:46:15,31,0,16,Oz,1
081651,4.99,Buffalo Blue Unexpected Cheddar Cheese Spread,2025-10-11 11:46:15,31,1,9,Oz,1
082298,7.99,Jack of All Flavors,2025-10-11 11:46:15,31,1,12,Oz,1
081645,12.99,Apizza Gouda Cheese,2025-10-11 11:46:15,31,1,1,Lb,1
074669,5.49,Harvest Chocolate Collection,2025-10-11 11:46:15,31,1,4.3,Oz,1
095447,3.79,Pecan Pumpkin Oatmeal,2025-10-11 11:46:15,31,1,12.6,Oz,1
050101,2.49,Trader Joe's This Pumpkin Walks Into A Bar... Cereal Bars,2025-10-11 11:46:15,31,1,7.8,Oz,1
076605,5.99,Pumpkin Spice Mini Sheet Cake,2025-10-11 11:46:15,31,1,18,Oz,1
081671,4.49,Salted Maple Cold Foam Creamer,2025-10-11 11:46:15,31,1,15,Oz,1
081779,2.49,Juicy Apple Gummy Candy,2025-10-11 11:46:15,31,0,6.35,Oz,1
081676,4.99,Sliced Apple Cinnamon Sourdough Bread,2025-10-11 11:46:15,31,1,17.63,Oz,1
091030,2.99,Trimmed Leeks,2025-10-11 11:46:15,31,1,6,Oz,1
081173,4.49,3 Cheese Pasta with Eggplant,2025-10-11 11:46:15,31,1,13.05,Oz,1
080876,1.99,Antipasto Stick Prosciutto Wrapped Mozzarella Cheese,2025-10-11 11:46:15,31,1,1.5,Oz,1
082025,4.99,Freeze Dried Strawberry Pieces,2025-10-11 11:46:15,31,1,7,Oz,1
079742,3.79,Crustless Peanut Butter & Strawberry Jam Sandwiches,2025-10-11 11:46:15,31,1,8.89,Oz,1
081294,1.99,Antipasto Stick Salami & Pepper Jack Cheese,2025-10-11 11:46:15,31,1,1.5,Oz,1
082122,3.99,Hazelnut & Cocoa Filled Crepes,2025-10-11 11:46:15,31,1,6.78,Oz,1
090859,3.99,Chicken Broth Concentrate,2025-10-11 11:46:15,31,1,4.06,Oz,1
082433,3.99,Tropical Smoothie Blend,2025-10-11 11:46:15,31,1,16,Oz,1
082148,4.49,Spaghetti with Meat & Sauce,2025-10-11 11:46:15,31,1,14,Oz,1
078015,2.49,Baladi Egyptian Sourdough Pocket Bread,2025-10-11 11:46:15,31,0,14.1,Oz,1
081869,3.79,3 Cheese Spinach & Artichoke Pasta,2025-10-11 11:46:15,31,1,12,Oz,1
073856,1.99,Mini Sonora Style Tortillas,2025-10-11 11:46:15,31,1,7.5,Oz,1
081246,1.99,Corn & Wheat Tortillas,2025-10-11 11:46:15,31,1,10,Oz,1
080716,5.99,Cinnamon Buns,2025-10-11 11:46:15,31,1,13.05,Oz,1
098551,1.99,Organic Low Sodium Vegetable Broth,2025-10-11 11:46:15,31,1,32,Fl Oz,1
051533,2.79,Pumpkin Cream Cheese Spread,2025-10-11 11:46:15,31,0,8,Oz,1
080436,2.99,Organic Black Pepper Barilotti Pasta,2025-10-11 11:46:15,31,1,16,Oz,1
080795,4.49,Crunchy Sesame Sunflower Seeds Pepitas Salsa Macha,2025-10-11 11:46:15,31,1,6,Oz,1
079788,0.99,Mini Cinnamon Sugar Cookies,2025-10-11 11:46:15,31,1,2,Oz,1
080743,3.49,All Butter Apricot Shortbread Cookies,2025-10-11 11:46:15,31,0,4.93,Oz,1
077512,4.99,Dark Chocolate Covered Cashews,2025-10-11 11:46:15,31,1,6,Oz,1
072774,2.29,Steamed & Peeled Baby Beets,2025-10-11 11:46:15,31,1,8,Oz,1
095369,3.49,Sugar Sweet Melon,2025-10-11 11:46:15,31,0,1,Each,1
096529,3.99,Saturn Peaches,2025-10-11 11:46:15,31,1,19,Oz,1
056051,2.99,Organic Ranch Dressing,2025-10-11 11:46:15,31,1,16,Fl Oz,1
055010,2.99,Organic Apple Strawberry Fruit Sauce Crushers,2025-10-11 11:46:15,31,1,12.7,Oz,1
079898,5.99,Uncured Pepperoni Pizza,2025-10-11 11:46:15,31,1,17.63,Oz,1
081528,4.49,Vanilla Flavored Cold Foam Creamer,2025-10-11 11:46:15,31,1,15,Oz,1
081428,0.79,Chocolate Vanilla Creme Joe-Joe's 4 pk,2025-10-11 11:46:15,31,1,1.758,Oz,1
057185,3.99,Vanilla Hold the Cone! Mini Ice Cream Cones,2025-10-11 11:46:15,31,1,7.9,Oz,1
081527,2.99,Hot Honey Popcorn,2025-10-11 11:46:15,31,0,7,Oz,1
081732,3.79,Strawberry Ice Cream,2025-10-11 11:46:15,31,1,1,Pint,1
080072,1.99,Fruit Jellies Candy,2025-10-11 11:46:15,31,1,3.5,Oz,1
079074,3.49,Crunchy Milk Chocolate & Sea Salt Thins,2025-10-11 11:46:15,31,1,3.4,Oz,1
051633,9.99,Bacon Cheddar,2025-10-11 11:46:15,31,0,1,Lb,1
094662,2.49,Frosted Flakes Cereal,2025-10-11 11:46:15,31,1,15,Oz,1
092331,2.79,Organic Corn Flakes Cereal,2025-10-11 11:46:15,31,1,12,Oz,1
061445,6.49,Fresh Mozzarella Cheese Log,2025-10-11 11:46:15,31,1,16,Oz,1
055428,2.29,Popcorn In a Pickle,2025-10-11 11:46:15,31,1,5,Oz,1
066563,5.49,Mandarin Orange Chicken,2025-10-11 11:46:15,31,1,22,Oz,1
080153,2.99,Deli Sandwich Style Potato Chips,2025-10-11 11:46:15,31,0,7,Oz,1
080893,4.99,Carnival Fun Cake Fries,2025-10-11 11:46:15,31,1,12,Oz,1
081384,4.99,Black Sesame Mochi,2025-10-11 11:46:15,31,0,7.61,Oz,1
081062,4.49,All the Things Cookies,2025-10-11 11:46:15,31,1,9,Oz,1
079213,3.79,A Gaggle of Gummy Candy,2025-10-11 11:46:15,31,1,14,Oz,1
096695,2.99,Ode to the Classic Potato Chip,2025-10-11 11:46:15,31,1,10,Oz,1
079821,2.29,Italian Aperitivo Medley Snack Mix,2025-10-11 11:46:15,31,0,8,Oz,1
077785,2.49,Fried Shallots,2025-10-11 11:46:15,31,1,5,Oz,1
081063,14.99,Shropshire Blue English Cheese,2025-10-11 11:46:15,31,0,1,Lb,1
071872,3.99,Green Bean Casserole Bites,2025-10-11 11:46:15,31,0,4.8,Oz,0
080421,2.69,Mini Pretzel Twists,2025-10-11 11:46:15,31,1,12,Oz,1
079732,3.99,Korean Japchae Fried Rice,2025-10-11 11:46:15,31,1,16,Oz,1
080796,3.99,Watermelon Freeze Dried Candies,2025-10-11 11:46:15,31,1,1.5,Oz,1
054991,3.99,Fruitful Medley,2025-10-11 11:46:15,31,1,16,Oz,1
080626,2.49,Organic Baby Red Butter Lettuce & Baby Arugula,2025-10-11 11:46:15,31,1,6,Oz,1
097210,3.49,Fair Trade Turbinado Raw Cane Sugar,2025-10-11 11:46:15,31,1,24,Oz,1
082077,3.99,Mango Pineapple Pico de Gallo Salsa,2025-10-11 11:46:15,31,1,12,Oz,1
080470,2.99,Strawberry & Watermelon Marshmallows,2025-10-11 11:46:15,31,0,8,Oz,1
073162,3.49,Chocolate Croissants,2025-10-11 11:46:15,31,1,5.9,Oz,1
079658,6.49,Strawberries & Cream Cloud Cake,2025-10-11 11:46:15,31,1,17.64,Oz,1
080323,4.99,Italian Pistachio & Fior di Latte Gelato Style Frozen Dessert,2025-10-11 11:46:15,31,0,28.74,Fl Oz,1
080349,2.99,Hot Honey Fudge,2025-10-11 11:46:15,31,1,5.29,Oz,1
080967,11.99,Seasoned Lamb Shoulder Rack,2025-10-11 11:46:15,31,1,1,Lb,1
081792,4.99,Unexpected Broccoli Cheddar Soup,2025-10-11 11:46:15,31,1,20,Oz,1
080602,3.99,Risotto Semplice,2025-10-11 11:46:15,31,1,16,Oz,1
078613,0.99,Greek YogurtHoney Made with Whole Milk,2025-10-11 11:46:15,31,1,5.3,Oz,1
086453,2.99,Greek Lowfat Yogurt Plain,2025-10-11 11:46:15,31,1,16,Oz,1
082031,4.99,Korean Style Bibim-Guksu,2025-10-11 11:46:15,31,1,9.81,Oz,1
