sku,retail_price,item_title,sales_size,sales_uom_description,category,category_id,all_categories,inserted_at,store_code,availability,published
053437,2.69,Organic Crimini Mushrooms,8,Oz,Products (Root),2,Products > Food > Fresh Fruits & Veggies > Veggies,2025-10-19 14:48:44,691,1,1
081699,7.99,Advent Calendar for Cats,1,Oz,Products (Root),2,Products > Everything Else > Pet Stuff,2025-10-19 14:48:44,691,0,1
081700,7.99,Advent Calendar for Dogs,1,Oz,Products (Root),2,Products > Everything Else > Pet Stuff,2025-10-19 14:48:44,691,0,1
082434,0.99,Cranberry Clementine Whole Milk Yogurt,5.3,Oz,Products (Root),2,"Products > Food > Dairy & Eggs > Yogurt, etc.",2025-10-19 14:48:44,691,0,1
081682,9.99,Maple Pecan Cold Brew Coffee Concentrate,32,Fl Oz,Products (Root),2,Products > Beverages > Coffee & Tea,2025-10-19 14:48:44,691,0,1
081214,5.99,Freeze-Dried Beef Meatballs for Dogs,4,Oz,Products (Root),2,Products > Everything Else > Pet Stuff,2025-10-19 14:48:44,691,1,1
079746,1.99,Organic Square Rigatoni Pasta,1,Lb,Products (Root),2,Products > Food > For the Pantry > Pastas & Grains,2025-10-19 14:48:44,691,1,1
082464,4.49,Teeny Tiny Maple Butter Tarts,8,Oz,Products (Root),2,Products > Food > From The Freezer > Cool Desserts,2025-10-19 14:48:44,691,1,1
082332,5.49,Chicken Caesar Wrap,9.5,Oz,Products (Root),2,"Products > Food > Fresh Prepared Foods > Wraps, Burritos & Sandwiches",2025-10-19 14:48:44,691,1,1
081648,2.79,Everything But the Pizza Whipped Cream Cheese Spread,8,Oz,Products (Root),2,Products > Food > Cheese > Cream and Creamy Cheeses,2025-10-19 14:48:44,691,1,1
047588,1.99,Sea Salt Fine Crystals,26.5,Oz,Products (Root),2,Products > Food > For the Pantry > Spices,2025-10-19 14:48:44,691,1,1
081994,4.99,Totally Cheeseball Cheese Spread,9,Oz,Products (Root),2,Products > Food > Cheese > Cream and Creamy Cheeses,2025-10-19 14:48:44,691,0,1
081760,8.99,Non-Alcohol Sparkling Violette Tea,750,mL,Products (Root),2,Products > Beverages > Sodas & Mixers,2025-10-19 14:48:44,691,0,1
181782,0.00,Sparkling Cranberry Ginger Brew Beverage,8.4,Fl Oz,Products (Root),2,Products > Beverages > Sodas & Mixers,2025-10-19 14:48:44,691,0,1
033372,4.99,Organic Sweet Potatoes,3,Lb,Products (Root),2,Products > Food > Fresh Fruits & Veggies > Veggies,2025-10-19 14:48:44,691,1,1
082986,10.99,Light-Up Cemetarium,1,Each,Products (Root),2,Products > Flowers & Plants,2025-10-19 14:48:44,691,1,1
081415,2.99,Trick-or-Treat Mini Canvas Totes,1,Each,Products (Root),2,Products > Everything Else > Household Essentials,2025-10-19 14:48:44,691,1,1
079542,8.99,Olive Green Large Reusable Insulated Bag,1,Each,Products (Root),2,Products > Everything Else > Household Essentials,2025-10-19 14:48:44,691,1,1
