sku,retail_price,item_title,inserted_at,store_code,availability
sku,retail_price,item_title,inserted_at,store_code,availability
081523,5.49,"Strawberry Doodle Cookies","2025-06-03 00:00:07",546,1
079514,2.99,"Dark Choclate Thins On the Go! No Sugar Added","2025-06-03 00:00:07",546,1
081545,3.99,"Patislove® Pistachio Dark Chocolate Dubai Style","2025-06-03 00:00:07",546,0
078527,3.49,"French Galettes Butter Cookies","2025-06-03 00:00:07",546,1
080590,2.49,"Organic Silken Tofu","2025-06-03 00:00:07",546,1
080324,4.99,"Passion Fruit Sorbet","2025-06-03 00:00:07",546,1
078428,2.99,"Spicy Dynamite Sauce","2025-06-03 00:00:07",546,1
062909,1.29,"Coffee Lover's Espresso Beans","2025-06-03 00:00:07",546,1
036420,3.99,"Cilantro Salad Dressing","2025-06-03 00:00:07",546,1
080040,3.29,"Hard Top Chocolate Shell Topping","2025-06-03 00:00:07",546,1
075995,3.99,"Skipjack Tuna Fillets in Olive Oil","2025-06-03 00:00:07",546,1
077645,3.49,"Boneless Grilled Mackerel Fillets","2025-06-03 00:00:07",546,1
080527,6.99,"Meatball Calzone","2025-06-03 00:00:07",546,1
081316,0.49,"Organic Sour Apple Watermelon Fruit Leather Wrap","2025-06-03 00:00:07",546,1
081067,3.49,"Spicy Mango Habanero Guacamole","2025-06-03 00:00:07",546,1
081050,3.49,"Roasted Tomato Labneh Dip","2025-06-03 00:00:07",546,1
080939,4.99,"Cinnamon Swirl Bread Sliced","2025-06-03 00:00:07",546,1
079652,2.49,"Parsley Crackers","2025-06-03 00:00:07",546,1
081300,2.99,"Organic Guava Fruit Spread","2025-06-03 00:00:07",546,0
079860,5.99,"Raspberry, Vanilla & Blueberry Macarons","2025-06-03 00:00:07",546,1
078104,1.99,"Strawberry Baton Wafer Cookies","2025-06-03 00:00:07",546,0
081419,9.99,"Organic Columbia Anei Fair Trade Small Lot Coffee","2025-06-03 00:00:07",546,1
080961,11.99,"Toscano Cheese Crunchy Chili Onion","2025-06-03 00:00:07",546,1
081429,3.79,"Root Beer Float Pieces","2025-06-03 00:00:07",546,1
081051,1.99,"Sparkling Tea & Lemonade","2025-06-03 00:00:07",546,1
079998,2.99,"Pretzel Buns","2025-06-03 00:00:07",546,1
079711,3.49,"Potato Buns","2025-06-03 00:00:07",546,1
081725,19.99,"Diamond Reserve Cabernet Sauvignon Napa Valley 2023","2025-06-03 00:00:07",546,0
081939,7.99,"Copilot Pinot Noir 2023","2025-06-03 00:00:07",546,0
081938,7.99,"Copilot Chardonnay 2023","2025-06-03 00:00:07",546,0
074895,3.99,"Seedless Lemons","2025-06-03 00:00:07",546,1
075348,3.99,"Sea Breeze Castile Hand Soap","2025-06-03 00:00:07",546,1
068492,1.99,"Organic Ground Turmeric","2025-06-03 00:00:07",546,1
179344,7.99,"Josephsbrau Grapefruit Radler","2025-06-03 00:00:07",546,1
081937,12.99,"Tarongino Frizzante Sparkling Orange Wine","2025-06-03 00:00:07",546,0
067705,2.49,"Synergistically Seasoned Popcorn","2025-06-03 00:00:07",546,1
061301,4.99,"Lemon Basil Pasta Salad","2025-06-03 00:00:07",546,1
051403,2.49,"Solid LIght Yellowfin Tuna in Olive Oil","2025-06-03 00:00:07",546,1
074667,2.49,"Solid Light Yellowfin Tuna iin Extra Virgin Olive Oil","2025-06-03 00:00:07",546,0
